# series_id: BIS_BROAD
# description: BIS LBS: Total liabilities to China, all instruments, USD-equiv
# generated: 2026-03-31T23:06:31.158444+00:00
# rows: 43
#
date,value_bn,series_id,instrument,counterparty,currency,position,unit,is_correct_for_slr_hypothesis,note
2017-07-01,2810.697207,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2017-10-01,2807.694121,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2018-01-01,3178.302635,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2018-04-01,3027.265063,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2018-07-01,3323.205401,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2018-10-01,3182.975598,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2019-01-01,3205.502312,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2019-04-01,3306.877804,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2019-07-01,3196.393331,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2019-10-01,3247.9787929999998,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2020-01-01,3313.016137,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2020-04-01,3622.721274,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2020-07-01,3842.080462,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2020-10-01,4170.487442,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2021-01-01,4340.707674,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2021-04-01,4827.043665,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2021-07-01,4482.996668,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2021-10-01,4760.671773,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2022-01-01,4429.32428,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2022-04-01,4086.820597,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2022-07-01,3880.771398,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2022-10-01,3842.664973,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2023-01-01,3989.890786,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2023-04-01,3636.762817,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2023-07-01,4194.536835,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2023-10-01,4094.864861,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2024-01-01,3821.148153,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2024-04-01,4229.916748,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2024-07-01,4457.137177,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2024-10-01,4263.144428,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2025-01-01,5068.976086000001,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2025-04-01,5057.088249,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2025-07-01,4638.993933,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
